id,nombre,habilidades,valoracion,experiencia,tarifa,ubicacion,telegram_id,telefono,disponibilidad,created_at
1,Raimundo Crespo Álvaro,"{""oficios varios""}",4.2,8,28,Castilla,@vcastells,+34 844 30 60 98,En vacaciones,2024-05-09T23:35:33.959056
2,Visitación Capdevila Hernandez,"{""cocinero"",""albanil"",""pintura""}",4.9,10,82,Castilla,@hgalvan,+34982 18 17 14,Ocupado 2 dias,2024-12-12T23:35:33.959056
3,Roldán Fuentes Valle,"{""plomero"",""jardinero"",""mercado""}",4.4,9,88,envigado,@nazaret00,+34 974558529,En vacaciones,2024-05-18T23:35:33.959056
4,Cristian Montserrat,"{""mecanico"",""mandados""}",3.8,4,86,envigado,@tprat,+34985 66 37 82,Disponible proximo dia,2025-02-11T23:35:33.959056
5,Emilia Vall Lladó,"{""modisteria"",""cocinero"",""programador"",""plomero"",""albanil""}",3.6,7,94,Robledo,@rguitart,+34 981875036,En vacaciones,2025-03-26T23:35:33.959056
6,Narcisa Azorin Mariscal,"{""albanil"",""mecanico"",""descargar"",""programador""}",4.6,8,28,guayabal,@gordilloolivia,+34 925 97 34 80,Disponible ahora,2025-02-09T23:35:33.959056
7,Eusebio Oliva Cortes,"{""mesero"",""reparacion"",""pintura""}",3.8,9,95,guayabal,@dimas65,+34 848 264 489,Ocupado 2 dias,2024-08-04T23:35:33.959056
8,Felipa Borrego Dueñas,"{""albanil"",""modisteria"",""escolta"",""descargar""}",4.1,1,56,santacruz,@irisropero,+34877607810,Ocupado 2 dias,2024-12-03T23:35:33.959056
9,Andrés Felipe Guadalupe Iniesta Robles,"{""descargar"",""mecanico"",""pintura""}",5.0,1,35,Castilla,@vmir,+34702 59 75 90,Ocupado 2 dias,2024-11-29T23:35:33.959056
10,Luisina Montesinos Tur,"{""jardinero"",""mecanico""}",3.6,4,79,Manrique,@lpulido,+34732 940 738,Disponible ahora,2024-07-01T23:35:33.959056
11,Hilario Olmedo Carbajo,"{""musica"",""oficios varios"",""mesero""}",3.6,5,49,envigado,@fmontana,+34 980 341 014,En vacaciones,2024-06-07T23:35:33.959056
